FIC,Non_FIC
,0
,1
,8408
,0
,0
,0
,0
,1216
,154
,10
,9
,1
,2826
,193
,0
,1
,1
,1
,0
,22
,18467
,6072
,1
,2668
,1447
,2949
,404
,2501
,1
,2
,473
,0
,29
,1105
,102
,20
,0
,28
,8539
,6702
,41
,17562
,45
,3
,2
,426
,1169
,1
,8
,6
,8924
,523
,1
,3
,1
,1
,11
,122
,35
,1176
,663
,6871
,5
,115
,13
,1
,14
,9829
,3094
,8
,29
,1
,1302
,1233
,249
,19
,549
,547
,0
,6142
,1
,1334
,7
,14
,35
,6
,6
,816
,2197
,1726
,25
,38
,1056
,44
,2677
,45
,1874
,54
,0
,5
,63
,1413
,20
,1
,11
,1390
,7
,138
,58
,80
,33
,0
,0
,0
,0
,0
,1
,1
,1
,1
,0
,21
,5
,3972
,0
,3768
,7
,113
,21
,1268
,80
,185
,1
,0
,0
,0
,12865
,5012
,6
,18
,12
,90
,19418
,5420
,8946
,1417
,1
,0
,5
,4904
,0
,6
,1
,20879
,8
,8498
,28620
,127
,5471
,615
,1434
,2
,12269
,24957
,19663
,16
,4
,2
,2
,1579
,22347
,1336
,29445
,20808
,132
,11
,2267
,85
,222
,6928
,1935
,9600
,14
,5
,30
,23484
,2287
,25
,551
,11
,9
,31
,599
,176
,686
,7577
,64
,1337
,1
,1
,22
,1392
,25
,29
,2280
,1194
,5293
,5999
,1
,33
,0
,3936
,87
,25
,0
,1287
,28228
,586
,18310
,1
,42
,7802
,15
,79
,1865
,8
,617
,19
,2
,1026
,6
,1133
,215
,65
,3
,3
,3
,5027
,1093
,6936
,2061
,77
,43
,2
,229
,15909
,34
,2
,9
,1
,3
,16
,4972
,17
,1458
,1
,6
,1351
,1
,0
,0
,1
,3
,0
,1
,2
,2
,374
,5
,974
,2
,2815
,19
,150
,4764
,15
,0
,2365
,1
,12
,1934
,1
,0
,656
,2941
,15213
,0
,7
,3325
,3393
,7
,3349
,17
,2123
,17
,549
,0
,28
,0
,44
,12
,50
,285
,0
,559
,2
,235
,0
,2105
,297
,0
,551
,1340
,71
,3
,4934
,35
,1
,11
,0
,89
,2801
,1
,36
,7014
,1
,12
,105
,3874
,16145
,33
,5633
,2
,19
,11
,10111
,7501
,12
,4079
,3246
,17
,2770
,2842
,2
,30929
,10
,2470
,3987
,2558
,514
,3
,9517
,129
,1
,13
,3665
,1
,19
,43
,4223
,1440
,145
,41
,1
,4
,4013
,12
,28
,10
,46
,6
,260
,2
,5
,1
,0
,2
,0
,79
,505
,887
,9
,3
,135
,2
,30
,131
,1195
,22
,38
,10
,1370
,2
,306
,6
,14140
,2
,5138
,1
,9
,7
,2
,53
,19
,0
,21
,29
,0
,387
,907
,8703
,6
,21
,0
,2
,10
,0
,4
,5
,2
,5
,5
,23
,1422
,10
,2678
,0
,43
,16
,5493
,21
,1871
,3390
,6
,9814
