Version, Early, Middle, Late
3_8_1,0,0,0
3_8,0,0,0
3_7,0,0,0
3_6,0.03,0.01,0
3_5,0.03,0.01,0.02
3_4,0.04,0,0.03
3_3_2,0,0,0
3_3_1,0,0,0
3_3,0.05,0.02,0
3_2_1,0,0,0
3_2,0.07,0.05,0.05
3_1,0.09,0.07,0.08
3_0_1,0.04,0,0
3_0,0.15,0.07,0.04
2_6,0,0,0
2_5,0.09,0.2,0
2_4,0,0.08,0.09
2_3,0.15,0.09,0
2_2,0.27,0.15,0
2_1,0.17,0.1,0
2_0,0.2,0,0
1_0_1,0,0,0
