FIC,Non_FIC
,1216
,0
,7231
,0
,0
,0
,0
,0
,12
,1
,16
,36
,1
,13
,1
,0
,9996
,18
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,112
,0
,40
,3
,5
,0
,1
,5375
,0
,0
,0
,0
,0
,0
,0
,4
,570
,0
,0
,0
,0
,1713
,10
,0
,0
,10045
,0
,0
,0
,0
,2
,23
,0
,3
,4
,14
,0
,11490
,18730
,0
,0
,14
,0
,2286
,0
,0
,26371
,11
,8
,26
,0
,0
,0
,0
,0
,0
,0
,0
,1322
,4
,36
,77
,3
,1
,9
,3
,4
,17
,5
,37
,516
,316
,102
,366
,10
,709
,40
,363
,255
,18607
,21263
,28639
,92
,7557
,5362
,8
,0
,8
,1518
,40
,1269
,2
,71
,15869
,40
,28
,13
,2901
,27
,2
,104
,8
,3
,2350
,4
,574
,1265
,0
,1
,1166
,1402
,8822
,2737
,4571
,145
,3
,0
,28178
,4998
,4460
,1600
,41
,6
,5
,1221
,0
,2876
,116
,78
,5763
,0
,0
,3
,4103
,0
,33084
,14488
,7155
,9
,13
,3
,36
,2705
,17
,4
,0
,4
,130
,25818
,131
,125
,1497
,7673
,21
,10
,11
,49
,0
,5
,34
,7
,7719
,30
,42975
,382
,11
,23
,1283
,6719
,287
,31706
,213
,25784
,2
,33
,4
,100
,1
,4
,28672
,5955
,5
,9768
,1382
,0
,3
,0
,26390
,25
,0
,40
,231
,20874
,0
,0
,0
,0
,0
,2
,0
,415
,2744
,91
,4191
,6098
,0
,25516
,0
,1323
,0
,434
,0
,19
,803
,0
,20832
,0
,3
,0
,1
,0
,16
,4
,5748
,0
,5774
,9
,17
,116
,8113
,7
,38
,3
,18132
,0
,0
,0
,0
,0
,193
,52
,9
,305
,16
,1149
,1444
,11
,3576
,11838
,11714
,17159
,2595
,13
,276
,900
,1706
,19
,17
,1267
,1
,12129
,6843
,0
,3886
,4
,13
,3
,10
,60
,10
,1421
,0
,102
,15
,2
,5
,0
,4
,0
,1
,3
,790
,3
,23
,22
,1
,0
,2358
,44
,3
,126
,3
,60
,17
,410
,5
,3
,1
,2
,2
,26
,8900
,8
,5
,22633
,8906
,5
,8712
,2
,18
,12678
,1868
,930
,4
,11
,12
,241
,2
,5
,0
,57
,38463
,49
,4
,2249
,43
,1824
,22760
,91
,926
,4499
,2
,4
,4045
,0
,0
,54
,0
,5
,23
,1311
,19
,1315
,1
,1
,25
,35
,34856
,195
,62
,65
,945
,5893
,107
,5596
,7005
,20
,20
,353
,0
,2
,14
,1121
,8
,3
,279
,81
,26
,6
,6
,5
,15330
,40
,13
,25
,22
,1501
,20252
,10
,45
,8177
,0
,0
,7031
,2240
,41
,2
,1
,762
,10759
,20025
,2609
,10407
,1068
,94
,1
,0
,51
,12
,5
,36
,2
,2
,816
,2
,4
,1881
,14
,20
,4405
,871
,263
,14876
,15168
,2231
,611
,59268
,35931
,60
,24
,16
,120339
,15351
,96746
,97
,0
,0
,6941
,2
,0
,5
,5758
,4
,28
,7
,44
,11
,9
,0
,42
,96
,19611
,16
,7
,68
,1
,10377
,5713
,274
,6
,4980
,0
,0
,41
,23025
,4266
,0
,2
,45
,1
,0
,8
,615
,76
,17
,55
,99
,0
,24488
,1249
,2687
,6
,15779
,773
,451
,53
,6736
,47202
,31
,0
,14848
,7342
,0
,0
,5
,0
,4033
,16
,106
,1986
,11
,422
,1
,5
,7
,9697
,1441
,96
,27
,1147
,125
,13793
,16
,8909
,0
,5548
,18
,11
,19
,16
,37
,5914
,2478
,690
,46980
,14944
,26975
,3187
,6631
,153
,275
,5681
,29
,0
,0
,0
,0
,0
,13
,5
,9
,3
,5
,0
,1
,1
,5
,6
,4
,1
,0
,3
,1
,3
,72
,4
,103
,0
,3
,0
,0
,1
,3
,18
,10
,1518
,4
,1013
,0
,0
,0
,0
,0
,0
,0
,0
,9
,2396
,0
,0
,2239
,10683
,4
,750
,6
,3
,2
,13
,548
,4
,2410
,0
,0
,4
,7
,0
,6
,1093
,5
,90
,0
,46
,4401
,3
,34
,8
,6
,265
,0
,0
,323
,0
,6
,2
,0
,53
,10
,13
,1
,0
,11
,9
,13
,6
,11
,5
,137
,4
,18877
,5
,5499
,26
,4
,52
,5
,50
,4
,4
,6
,5
,198
,6
,11
,21
,28
,5
,17
,7
,321
,5
,0
,5
,4
,1019
,17
,0
,0
,18
,0
,9
,2
,143
,38
,46
,0
,112
,8
,0
,5
,4
,9
,6
,0
,4
,0
,494
,6
,26
,27
,6
,5
,0
,19
,4
,0
,8858
,153
,35
,13
,0
,17
,38
,21
,0
,365
,0
,1
,1204
,13
,0
,44661
,0
,94
,2
,12
,14
,43
,6
,17
,9
,0
,2
,5
,0
,0
,53
,3
,584
,1
,1
,0
,103
,29
,49
,6
,0
,135
,0
,1
,1
,1
,9
,0
,0
,5
,0
,0
,59
,2
,1180
,38
,4
,2
,6
,0
,0
,11
,5489
,1026
,2
,4608
,424
,0
,0
,0
,0
,0
,0
,9
,11
,17
,1249
,119
,47
,12
,0
,0
,783
,172
,394
,8
,3
,16
,8
,7
,0
,0
,2
,1155
,12
,622
,13
,0
,0
,89
,439
,1450
,2813
,53
,1
,3
,1
,3
,7
,11
,0
,7
,7
,1
,5058
,1254
,15
,0
,0
,7745
,0
,165
,635
,7
,0
,0
,12316
,0
,0
,0
,0
,0
,0
,0
,0
,0
,114
,4
,24
,11
,4
,3483
,10557
,0
,2
,0
,1
,6
,6
,0
,0
,54
,16
,5
,1
,0
,1
,9
,1
,25
,29
,0
,0
,42
,19
,73
,32
,13
,4
,22
,0
,0
,5565
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,38
,4
,37
,2235
,277
,0
,0
,0
,0
,276
,8
,4
,0
,0
,0
,1360
,719
,0
,47
,7
,1542
,11
,7
,0
,0
,0
,0
,0
,13
,0
,0
,2673
,18
,2384
,10130
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,11
,0
,0
,2334
,15
,318
,3
,2
,0
,1
,3
,8
,6
,9
,35
,25
,1
,0
,0
,0
,0
,0
,0
,0
,0
,559
,54
,11085
,3199
,12
,7
,19
,34
,91
,1
,0
,0
,3
,5
,5
,5
,573
,0
,134
,0
,1
,4
,1
,1
,5
,1627
,1
,4
,0
,21
,0
,1585
,4
,981
,3
,63
,0
,47
,0
,0
,0
,0
,0
,0
,0
,0
,0
,6
,37
,1
,2
,7
,6
,9
,5
,3
,58
,14
,0
,33
,1266
,9
,1202
,8
,102
,26
,1
,6
,0
,0
,16
,11
,11
,0
,5779
,8
,174
,124
,832
,2
,4
,4
,192
,4
,128
,6540
,834
,1
,1
,4
,0
,212
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,15
,77
,2801
,0
,19
,542
,3
,0
,2276
,30438
,1693
,7051
,7336
,1
,15779
,59
,5614
,819
,166
,5
,0
,3295
,11
,8
,4
,0
,27381
,78
,6685
,66
,126
,0
,0
,5
,0
,433
,9
,0
,177
,713
,2
,60
,6
,35
,6
,0
,45
,5
,4
,0
,15
,353
,52
,75
,438
,69
,5
,4
,0
,60
,0
,0
,115
,100
,1
,1
,315
,1
,238
,472
,118
,183
,317
,6465
,1976
,12
,158
,3
,0
,2952
,322
,0
,20
,5
,4922
,5
,4
,0
,0
,293
,4
,3
,0
,760
,16
,172
,12
,265
,0
,0
,3
,0
,1164
,35
,72
,0
,3
,2
,0
,1
,5
,0
,93
,2
,18
,13
,21
,210
,1
,10
,3
,0
,2
,1836
,0
,335
,40
,0
,0
,0
,0
,0
,0
,0
,0
,0
,2
,4
,0
,0
,3
,0
,4358
,0
,0
,0
,10
,4
,0
,1395
,0
,0
,5
,0
,5
,0
,0
,2
,0
,11482
,0
,0
,0
,19
,0
,21
,7
,3
,512
,2
,3
,12
,4
,0
,56
,746
,1
,1
,0
,5
,1
,0
,1875
,121
,263
,17
,0
,3
,7
,0
,1171
,1615
,99
,108
,10935
,194
,19
,27
,1265
,1536
,1162
,55
,6001
,72
,12999
,15
,73
,666
,507
,6010
,0
,56658
,5643
,690
,3408
,71
,20252
,138
,10616
,3543
,14147
,725
,2001
,36
,19472
,1126
,7057
,137
,111
,16
,2
,7
,3978
,8347
,3
,0
,1041
,407
,1
,3
,0
,10162
,797
,193
,52
,4243
,40
,18
,13
,3
,0
,2560
,0
,4
,0
,6365
,2
,0
,16149
,4
,12
,3
,0
,52
,0
,3
,0
,4655
,3
,0
,1655
,396
,810
,0
,26
,0
,3889
,24
,4828
,4
,0
,11487
,5
,5375
,283
,3
,0
,21285
,107
,21
,1222
,0
,21518
,3
,0
,65
,21
,3
,0
,72
,2
,2
,0
,0
,0
,0
,21
,262
,9117
,14
,14
,11971
,7079
,3623
,7
,3
,3
,6
,0
,8
,5
,52
,50
,6
,6
,0
,26
,4
,0
,5155
,4
,0
,1824
,5
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,12
,0
,3198
,4
,0
,1619
,1
,13
,0
,1620
,3
,4
,0
,50
,38
,5
,0
,14613
,2197
,64
,3
,10
,18
,4
,962
,3
,44
,12
,4207
,17
,13
,0
,9576
,1807
,14
,6
,0
,4
,0
,1896
,47
,1
,484
,0
,460
,4
,0
,808
,4
,0
,2975
,4
,0
,754
,5
,0
,1233
,49
,4
,0
,68
,19
,4
,0
,2
,59
,3
,0
,2825
,8
,3
,18
,4
,8
,4
,15
,2
,1
,117
,34
,22
,56
,8
,4
,6
,0
,2
,0
,171
,4
,0
,96
,0
,2
,5
,5
,1
,3
,0
,3
,3
,0
,3
,0
,16
,0
,1
,13
,5
,4
,0
,2054
,5
,0
,100
,33
,716
,4
,0
,510
,28
,50
,79
,166
,374
,473
,0
,570
,1177
,1
,4
,0
,371
,4
,0
,34
,960
,0
,4
,0
,5
,4
,0
,3235
,15
,4
,0
,4
,0
,3234
,4
,0
,2495
,7
,0
,1246
,46
,479
,6
,0
,1141
,59
,11
,0
,2554
,1957
,35
,993
,4
,0
,100
,7
,0
,1226
,4
,4
,0
,5
,4
,0
,8701
,4
,0
,5973
,1
,17
,3
,41
,0
,0
,0
,0
,0
,0
,0
,0
,0
,3
,0
,1
,0
,0
,0
,1
,2
,1
,2
,8
,31
,7
,3
,2
,2149
,9
,88
,0
,7
,17
,195
,4
,0
,1235
,0
,1
,16
,59
,0
,3324
,4
,0
,631
,8
,5
,7
,101
,194
,17
,0
,0
,207
,1
,57
,4
,0
,498
,3
,371
,4
,0
,38
,251
,88
,16
,4
,1
,0
,2
,470
,36
,4
,0
,535
,1146
,25
,3
,0
,1387
,5
,18
,6
,0
,0
,4
,0
,1978
,6
,0
,2097
,4
,0
,157
,373
,5
,1317
,1941
,4
,0
,1779
,7
,4
,0
,50
,1070
,4
,0
,121
,4
,11
,0
,4
,0
,639
,8
,0
,337
,4
,0
,67
,47
,4
,0
,174
,1168
,72
,3644
,5
,17
,949
,0
,3
,0
,183
,1280
,4
,0
,4
,4
,0
,134
,4
,0
,4
,0
,482
,1964
,50
,11
,8
,850
,3
,0
,66
,5
,0
,24
,37
,135
,7
,6
,3
,0
,32
,5
,0
,51
,0
,682
,8
,277
,4
,0
,173
,5
,0
,12
,382
,1423
,1176
,4
,0
,152
,0
,0
,0
,3
,188
,1208
,6
,2
,3304
,915
,4
,0
,262
,1167
,0
,40
,4
,0
,166
,39
,198
,5082
,4
,0
,467
,37
,7
,11
,5
,0
,3730
,17
,903
,12
,1148
,29
,4
,0
,24
,5
,5
,0
,3
,16954
,0
,3046
,8
,46
,349
,13
,23
,17
,10
,138
,45
,157
,15
,653
,14
,41
,13
,26
,314
,1031
,4
,20
,3
,0
,20
,158
,36
,27
,0
,234
,1
,0
,1552
,5
,0
,8
,0
,0
,0
,9
,175
,25
,1023
,12
,166
,105
,1105
,3305
,2802
,13
,2
,43
,9
,9
,1
,9
,15
,16
,474
,6
,0
,3
,0
,2182
,3
,0
,4
,0
,11
,300
,1691
,2
,550
,63
,9
,5
,0
,6
,5
,553
,5
,0
,5
,34
,681
,12
,14
,2
,78
,2
,7
,0
,49
,5
,0
,675
,1468
,372
,1644
,5
,607
,48
,6
,0
,187
,2
,2
,1740
,4
,0
,599
,1120
,65
,1
,772
,17
,39
,11
,2
,347
,5
,0
,115
,12
,883
,972
,7
,1110
,1
,6
,52
,621
,105
,7
,9
,2
,59
,3681
,1203
,3
,0
,0
,0
,0
,0
,0
,0
,0
,11
,13
,4365
,17
,17
,770
,2
,501
,0
,5
,150
,23
,505
,211
,0
,6
,7
,0
,586
,92
,0
,50
,10
,22
,16
,28
,0
,10
,19
,5
,54
,23
,97
,0
,2
,42
,1600
,1631
,4
,0
,680
,0
,424
,4
,0
,915
,1
,1
,63
,4
,0
,27
,4
,0
,852
,1391
,1198
,1
,24
,1353
,2
,10
,648
,2581
,3
,0
,34
,2
,0
,212
,1452
,414
,5
,0
,152
,1
,0
,160
,82
,11
,1
,153
,1
,0
,0
,0
,0
,194
,0
,68
,789
,2
,0
,403
,10
,76
,4
,0
,618
,1511
,14
,3796
,0
,7
,0
,37
,3
,0
,136
,24
,16
,4
,0
,180
,18
,1159
,971
,4
,0
,429
,16
,4048
,4
,0
,105
,0
,20
,2848
,4
,0
,44
,3
,0
,80
,67
,73
,1305
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,172
,3
,0
,241
,2607
,0
,968
,536
,4
,0
,0
,6
,0
,5
,0
,1030
,25
,5
