Version, Early, Middle, Late
2.17.3,0,0,0
2.17.2,0,0,0
2.17.1,0,0,0
2.17.0,0,0,0
2.16.3,1,0,0
2.16.2,0,0,0
2.16.1,0,0,0
2.16.0,0,0,0
2.15.6,0,0,0
2.15.5,0,0,0
2.15.4,0,0,0.04
2.15.3,0,0,0
2.15.2,0,0,0
2.15.1,0,0,0
2.15.0,0.6,0,0
2.14.0,0,0,0
2.13.3,0,0,0
2.13.2,0,0,0
2.13.1,0,0,0
2.13.0,0,0,0
2.12.2,0,0,0
2.12.1,0,0,0
2.12.0,0,0,0
2.11.7,0,0,0
2.11.6,0,0,0
2.11.5,0,0,0
2.11.4,0,0,0
2.11.3,0,0,0
2.11.2,0.33,0,0
2.11.1,0.25,0,0
2.11.0,0,0,0
2.10.5,0,0,0
2.10.4,0,0,0
2.10.3,1,0,0
2.10.2,0,0,0
2.10.1,0,0,0
2.10.0,0.13,0,0
2.9.2,0,0,0
2.9.1,0,0,0
2.9.0,0,0,0
2.8.55,0,0,0
2.8.54,0,0,0
2.8.53,0,0,0
2.8.52,0,0,0
2.8.51,1,0,0
2.8.50,0,0,0
2.8.49,1,0,0
2.8.48,0,0,0
2.8.47,0,0,0
2.8.46,0,0,0
2.8.45,0,0,0
2.8.44,0,0,0
2.8.43,0,0,0
2.8.42,0,0,0
2.8.41,0,0,0
2.8.40,0,0,0
2.8.39,0,0,0
2.8.38,0,0,0
2.8.37,0,0,0
2.8.36,0,0,0
2.8.35,0,0,0
2.8.34,0,0,0
2.8.33,0,0,0
2.8.32,0,0,0
2.8.31,0,0,0
2.8.30,0,0,0
2.8.29,0,0,0
2.8.28,0,0,0
2.8.27,0,0,0
2.8.26,0,0,0
2.8.25,0,0,0
2.8.24,0,0,0
2.8.23,0,0,0
2.8.9,0,0,0
2.8.8,0,0,0
2.8.7,0,0,0
2.8.6,0,0,0
2.8.5,0,0,0
2.8.4,0,0,0
2.8.3,1,0,0
2.8.2,0,0,0
2.8.1,0,0,0
2.8.0,0,0,0
2.7.22,0,0,0
2.7.21,0,0,0
2.7.20,0.25,0,0
2.7.19,0,0,0
2.7.18,0,0,0
2.7.17,0,0,0
2.7.16,0,0,0
2.7.15,0,0,0
2.7.14,0.2,0,0.25
2.7.13,0,0,0
2.7.12,0,0,0
2.7.11,0,0,0
