Version, FIC frequency, Non FIC frequency, FIC ration
2.8.5,0,2,0.0
2.8.4,0,2,0.0
2.8.3,1,1,0.5
2.8.2,0,6,0.0
2.8.1,0,6,0.0
2.8.0,0,25,0.0
2.7.22,0,10,0.0
2.7.21,0,6,0.0
2.7.20,1,12,0.07692307692307693
2.7.19,0,3,0.0
2.7.18,0,3,0.0
2.7.17,0,3,0.0
2.7.16,0,3,0.0
2.7.15,0,3,0.0
2.7.14,2,7,0.2222222222222222
2.7.13,0,8,0.0
2.7.12,0,3,0.0
2.7.11,0,3,0.0
2.7.10,0,4,0.0
2.7.9,1,3,0.25
2.7.8,0,6,0.0
2.7.7,0,3,0.0
2.7.6,0,8,0.0
2.7.5,0,3,0.0
2.7.4,1,2,0.3333333333333333
2.7.3,0,3,0.0
2.7.2,0,4,0.0
2.7.1,7,31,0.18421052631578946
2.6.9,1,2,0.3333333333333333
2.6.8,0,4,0.0
2.6.7,0,4,0.0
2.6.6,1,6,0.14285714285714285
2.6.5,0,6,0.0
2.6.4,0,4,0.0
2.6.3,0,4,0.0
2.6.2,0,4,0.0
2.6.1,0,4,0.0
2.6.0,0,3,0.0
2.5.7,0,4,0.0
2.5.6,0,4,0.0
2.5.5,1,3,0.25
2.5.4,0,5,0.0
2.5.3,0,4,0.0
2.5.2,2,6,0.25
2.5.1,0,11,0.0
2.5.0,2,9,0.18181818181818182
2.4.5,2,6,0.25
2.4.4,0,5,0.0
2.4.3,0,3,0.0
2.4.2,0,11,0.0
2.4.1,0,4,0.0
2.4.0,0,8,0.0
2.3.11,0,7,0.0
2.3.10,1,3,0.25
2.3.9,0,40,0.0
2.3.6,0,4,0.0
2.3.5,0,4,0.0
2.3.4,0,4,0.0
2.3.3,1,2,0.3333333333333333
2.3.2,0,9,0.0
2.3.1,1,4,0.2
2.3.0,5,47,0.09615384615384616
2.2.29,1,3,0.25
2.2.28,0,6,0.0
2.2.27,0,5,0.0
2.2.26,0,6,0.0
2.2.25,0,5,0.0
2.2.24,0,3,0.0
2.2.23,1,7,0.125
2.2.22,0,12,0.0
2.2.21,0,3,0.0
2.2.20,0,6,0.0
2.2.19,0,3,0.0
2.2.18,0,5,0.0
2.2.17,1,3,0.25
2.2.16,2,36,0.05263157894736842
2.2.15,0,6,0.0
2.2.14,0,3,0.0
2.2.13,0,5,0.0
2.2.12,0,14,0.0
2.2.11,0,7,0.0
2.2.10,0,15,0.0
2.2.9,0,9,0.0
2.2.8,0,9,0.0
2.2.7,0,6,0.0
2.2.6,0,16,0.0
2.2.5,1,4,0.2
2.2.4,1,3,0.25
2.2.3,1,14,0.06666666666666667
2.2.2,1,5,0.16666666666666666
2.2.1,1,2,0.3333333333333333
2.2.0,0,18,0.0
2.1.0,103,887,0.10404040404040404
1.10.19,1,13,0.07142857142857142
1.10.18,0,15,0.0
1.10.17,3,9,0.25
1.10.16,2,16,0.1111111111111111
1.10.15,1,31,0.03125
1.10.14,7,21,0.25
1.10.13,6,30,0.16666666666666666
1.10.12,5,21,0.19230769230769232
1.10.11,2,25,0.07407407407407407
1.10.10,0,7,0.0
1.10.9,2,19,0.09523809523809523
