FIC,Non_FIC
196,3
135,63
52,14
73,125
7,17
83,118
216,14
2030,24
20,64
68,580
136,1
340,11
2,25
146,83
1433,19
24,1
42,36
25,30
207,10
98,10
207,21
40,100
1060,6
660,96
210,303
27,776
345,23
866,0
18,1
59,0
30,118
889,4
4321,123
0,135
17,17
966,27
675,113
0,783
171,36
170,13
251,51
76,49
208,37
72,1
13,24
40,1
27,191
241,39
13,1
255,187
79,0
93,149
90,0
365,650
18,40
10,298
0,0
1082,6
41,6
1200,7
61,28
305,828
96,2
335,9
463,164
44,236
1110,51
10,919
80,127
2,93
1350,389
2855,791
0,21
12,193
648,20
2257,386
45,930
23,204
91,20
186,815
0,460
6,173
216,4
2971,8
42,109
335,717
1239,178
198,131
836,50
1,2
57,25
218,679
72,445
70,263
2979,607
20,154
26,55
118,1077
709,756
3464,894
43,1456
0,12
2604,475
48,344
103,37
277,710
1112,853
20,21
72,12
44,303
6804,3
430,282
144,46
124,810
1234,62
0,910
30,2
171,9
12,1726
149,26
1450,18
30,1175
975,18
375,35
849,143
69,94
68,63
24,549
5,144
18,289
0,124
642,8
899,16
1429,1
1005,29
0,38
2583,8
1,272
34,6
817,58
76,32
273,17
1375,44
1403,18
1519,24
0,478
316,19
1095,0
241,977
1153,10
2,20
393,32
884,636
401,156
5127,1986
61,546
147,715
7,275
2700,463
1358,56
76,751
690,138
90,302
132,5
17,2037
76,17
167,91
1273,640
2,10
808,1018
296,318
8,14
100,7
1785,3
8,211
968,10
1168,302
59,0
192,630
11,18
7228,81
209,31
775,358
1457,24
6,198
152,1411
759,0
208,522
1262,28
145,472
757,164
37,604
675,295
625,40
298,706
159,35
9,72
1532,4
989,514
3,297
3461,201
443,4
44,1347
0,33
2913,275
2486,1333
43,900
25,31
2268,67
98,7
204,7
380,76
326,19
7,1027
255,441
5403,149
6,248
163,140
4483,544
0,579
0,40
0,156
0,21
0,13
0,213
0,216
0,8
0,253
0,3
0,19
0,53
0,27
0,89
0,16
0,427
0,551
0,1669
0,719
0,2
0,20
0,90
0,323
0,17
0,86
0,701
0,97
0,16
0,50
0,1
0,15
0,18
0,95
0,39
0,952
0,10
0,12
353,14
121,2
41,74
318,23
68,1
1864,2
259,5
1078,17
303,13
1368,0
4601,78
8,0
91,137
0,168
158,7
0,0
220,0
447,0
1159,0
696,0
31,7
86,14
27,0
59,0
62,0
3,0
90,0
438,0
155,193
54,0
1455,4
4,91
847,0
38,21
366,0
185,19
35,0
5,82
393,76
2558,87
1292,585
37,90
84,43
23,1048
115,380
2943,1018
1538,17
3995,892
3919,44
261,9
363,1
10,37
0,132
0,71
0,1734
0,126
0,555
0,106
0,111
0,0
0,777
0,113
0,25
129,27
89,345
77,22
8,2
216,81
125,16
6,1324
3,134
6,245
7,4
16,23
153,1235
3,31
28,40
116,35
631,43
49,201
50,139
23,27
275,116
0,112
1190,676
508,780
56,531
218,17
201,18
116,50
256,241
131,66
6,0
69,0
26,40
77,8
14,294
548,158
402,280
1486,1391
0,4
8,41
94,649
0,941
206,45
429,331
87,929
13,254
386,0
64,53
57,851
13,157
127,93
260,15
15,20
50,125
277,252
75,6
17,13
30,180
18,0
90,1000
0,342
797,681
18,173
20,19
92,30
221,1487
84,28
1,1194
165,19
331,15
380,1127
807,1364
333,504
283,189
88,664
89,30
41,572
69,748
112,7
0,10
57,376
889,105
55,23
20,3
1339,173
63,30
9,67
0,49
859,664
143,34
836,2224
0,20
0,892
207,2992
12,8
388,1
31,3
33,7
158,0
109,12
35,210
1390,1232
338,158
112,4
31,396
33,3034
102,0
143,65
117,1089
3548,554
75,0
199,241
50,579
688,19
530,76
173,5
3,1281
1427,1665
1145,12
953,265
120,277
59,253
731,12
123,1002
47,1294
130,1859
972,151
3,48
198,1
0,842
25,937
825,387
6,129
198,954
9,60
26,640
249,561
15,98
1207,55
337,0
1,1035
35,7
705,13
27,30
108,63
1024,35
509,93
852,74
119,2
3183,55
0,53
34,1
133,38
720,33
0,2
178,0
542,32
32,1170
14,121
25,387
135,110
1434,37
3,52
22,131
11,2
0,1112
568,1152
188,0
8,2
887,0
798,0
58,1
2,65
266,5
83,21
0,17
152,15
485,1
16,2
98,0
627,0
3,2
102,0
403,2
14,1
688,1
21,85
2289,85
11,12
12,24
11,23
0,256
212,20
197,0
22,1295
72,372
4,7
2,416
821,822
39,15
214,38
87,62
574,39
748,10
22,820
611,25
31,332
152,870
603,93
83,3
470,0
394,20
448,0
1093,269
0,0
29,16
30,26
18,0
18,6
261,65
15,0
6,39
48,19
878,63
55,262
36,271
0,13
1032,0
14,3
4,0
86,0
2,21
0,10
13,0
93,0
21,0
0,35
7,23
70,389
82,230
14,0
113,1003
12,78
2,73
32,84
1445,1098
991,40
32,77
21,2
25,82
37,0
1,339
99,95
2,1008
22,43
632,216
57,3
86,1139
86,11
267,30
58,1
0,357
64,69
37,62
18,899
40,112
133,174
0,0
1,1
117,0
563,2057
19,14
66,1283
5,59
19,86
246,11
18,67
73,40
35,29
13,50
1,382
5,697
1,276
44,311
128,62
0,73
3,735
0,5
130,55
29,53
8,184
8,9
89,9
5,1551
104,297
124,143
30,825
78,18
37,23
504,318
537,1034
145,229
682,56
41,261
3,2
5,1
54,16
49,4
60,25
378,31
668,2128
9,642
20,2
27,1
77,9
66,6
722,677
54,28
348,918
33,11
0,25
0,71
0,173
117,42
0,163
66,89
695,50
0,572
44,239
54,18
83,315
1003,0
1,137
43,100
14,34
21,164
117,315
2,52
36,1
11,724
39,10
0,50
0,97
0,11
2,84
1,47
5,1
744,413
6,639
6,685
