FIC,Non_FIC
1.78,4.00
2.49,4.92
2.52,3.00
2.75,2.60
18.67,3.65
2.11,2.00
4.12,5.12
2.93,1.47
16.75,6.65
15.25,3.25
1.99,2.00
2.08,2.21
1.00,5.60
5.59,1.67
4.50,4.00
1.50,3.00
11.88,4.80
3.93,3.00
4.25,3.40
1.00,1.00
5.30,3.64
2.48,10.00
6.00,3.79
3.61,3.00
7.78,2.50
9.83,1.75
3.81,2.00
1.00,1.60
11.58,9.50
3.70,2.33
4.00,4.00
3.10,1.78
3.00,12.00
31.00,9.33
4.00,7.00
2.52,1.00
16.97,5.50
2.62,2.00
2.43,3.83
3.87,2.60
3.92,1.00
3.33,1.00
2.33,3.00
2.60,2.80
2.81,2.50
8.33,1.86
1.75,2.50
3.31,8.00
3.71,3.00
2.67,2.56
1.47,1.00
2.43,3.39
3.00,4.83
5.00,3.54
3.95,3.40
3.40,2.50
4.00,3.12
4.70,1.00
3.19,3.37
5.17,1.59
1.00,1.29
1.33,6.67
8.00,1.00
7.00,3.25
1.00,1.25
4.39,6.00
3.61,5.00
2.50,12.08
2.00,19.00
3.58,1.00
2.00,1.00
3.50,5.00
4.31,1.98
3.00,1.00
1.96,12.89
2.28,3.00
1.00,2.00
3.00,1.00
2.33,2.56
8.33,1.67
4.50,1.00
9.00,1.38
4.93,3.00
2.50,3.00
3.03,3.23
2.74,4.50
4.00,3.46
6.55,1.00
2.15,4.33
1.85,24.00
3.30,2.00
4.81,2.00
2.30,2.15
1.00,1.86
2.60,3.75
2.14,2.00
2.25,4.73
3.19,5.00
3.83,2.00
7.75,3.29
5.50,2.50
1.00,3.33
3.04,4.50
3.25,1.25
5.28,1.00
5.40,1.00
5.00,1.00
2.67,3.42
1.33,1.12
3.71,4.00
2.03,1.82
4.71,5.25
1.71,1.50
3.03,1.33
7.08,1.90
4.82,1.40
4.26,1.00
1.48,6.83
8.35,9.00
5.88,1.00
2.07,1.81
3.70,6.17
3.00,3.71
2.50,5.04
1.67,3.00
7.75,3.88
6.55,2.33
6.00,1.81
12.00,6.17
4.01,2.33
3.73,2.00
4.06,11.00
2.82,2.05
4.27,3.04
2.00,3.00
3.30,4.00
1.44,3.47
1.33,6.00
6.94,2.25
2.96,1.25
4.46,3.09
4.66,2.00
3.14,22.00
1.70,4.44
6.38,4.33
3.60,1.00
5.02,2.00
1.35,12.00
2.14,2.67
