FIC,Non_FIC
,264
,89
,77
,158
,12
,2
,1
,1
,34
,51
,2
,1
,0
,108
,444
,2
,14
,12
,78
,54
,36
,129
,91
,18
,114
,177
,758
,124
,30
,29
,20
,15
,0
,51
,13
,30
,2
,5
,9
,141
,21
,2
,35
,708
,291
,46
,4
,102
,5
,13
,17
,33
,8
,47
,0
,129
,23
,405
,435
,18
,13
,8
,23
,19
,139
,69
,3
,22
,3
,4
,7
,6
,50
,74
,3
,0
,3
,0
,3
,7
,50
,1086
,16
,155
,410
,61
,565
,665
,943
,224
,12
,996
,104
,28
,5
,11
,7
,93
,14
,27
,46
,32
,62
,82
,1
,78
,5
,6
,43
,47
,28
,14
,49
,42
,2
,0
,16
,60
,8
,5
,3
,25
,17
,63
,50
,155
,284
,16
,40
,52
,3
,54
,57
,19
,117
,14
,24
,143
,2
,39
,57
,2
,59
,40
,4
,5
,4
,1
,1018
,17
,9
,15
,10
,2
,7
,3
,19
,3
,7
,3
,74
,1
,12
,38
,2
,27
,8
,0
,25
,8
,6
,6
,44
,183
,297
,52
,7
,93
,0
,27
,136
,37
,0
,0
,129
,8
,112
,22
,119
,5
,44
,46
,607
,85
,43
,2
,50
,25
,564
,655
,270
,24
,50
,10
,5
,61
,54
,70
,993
,88
,13
,36
,276
,15
,42
,119
,5
,37
,2
,39
,7
,243
,461
,231
,1
,22
,17
,103
,36
,2
,0
,37
,36
,32
,33
,36
,46
,21
,34
,28
,2
,151
,1
,871
,3
,109
,10
,1
,89
,86
,0
,325
,2
,154
,2
,250
,268
,43
,85
,29
,31
,20
,12
,3
,0
,3
,17
,0
,7
,0
,7
,41
,6
,1
,0
,0
,2
,12
,42
,1027
,27
,2
,4
,15
,23
,0
,15
,199
,52
,17
,32
,350
,1022
,426
,209
,139
,29
,402
,45
,134
,273
,58
,2
,599
,56
,0
,242
,18
,5
,9
,54
,45
,495
,31
,194
,70
,207
,42
,89
,275
,28
,64
,32
,5
,5
,20
,810
,337
,122
,36
,8
,1
,73
,460
,0
,317
,107
,69
,148
,28
,2
,1
,0
,0
,0
,8
,13
,10
,24
,32
,34
,7
,13
,45
,40
,29
,3
,0
,10
,4
,41
,28
,71
,709
,2
,29
,0
,0
,0
,219
,1
,141
,64
,51
,3
,12
,24
,15
,209
,0
,1861
,1349
,8
,141
,324
,23
,78
,26
,19
,1
,29
,93
,56
,26
,10
,121
,11
,573
,159
,6
,7
,7
,41
,3
,1
,1
,110
,13
,24
,74
,5
,6
,40
,207
,21
,12
,202
,1
,2
,54
,457
,76
,0
,5
,12
,7
,27
,31
,18
,1
,166
,39
,7
,4
,11
,7
,9
,35
,5
,32
,31
,27
,25
,120
,832
,6
,8
,111
,2
,20
,0
,0
,8
,6
,25
,4
,112
,5
,0
,7
,64
,11
,0
,2
,1
,6
,30
,3
,228
,19
,541
,4
,61
,148
,14
,24
,0
,134
,413
,16
,0
,682
,277
,8
,61
,336
,869
,2
,373
,10
,793
,115
,67
,97
,358
,30
,39
,211
,608
,8
,10
,58
,79
,4
,44
,279
,169
,66
,11
,26
,3
,25
,33
,537
,9
,135
,26
,23
,67
,131
,2
,66
,43
,58
,4
,8
,27
,917
,64
,82
,15
,107
,13
,43
,1
,33
,70
,11
,4
,87
,1
,66
,4
,14
,48
,131
,27
,351
,53
,115
,1
,5
,0
,64
,52
,39
,3
,25
,26
,1
,10
,46
,27
,28
,0
,7
,12
,87
,2
,6
,89
,145
,175
,2
,1
,46
,28
,1
,30
,450
,37
,127
,1
,5
,61
,633
,1257
,62
,47
,423
,423
,13
,16
,102
,45
,210
,2
,646
,5
,246
,37
,394
,3
,195
,29
,185
,22
,18
,19
,23
,6
,5
,34
,0
,329
,648
,352
,5
,65
,31
,12
,6
,3
,4
,5
,215
,18
,662
,98
,114
,103
,10
,113
,3
,3
,2
,5
,3
,6
,11
,2
,241
,47
,15
,84
,1158
,51
,1761
,33
,113
,5
,82
,31
,1
,27
,273
,2
,114
,15
,151
,6
,1
,0
,8
,2
,0
,12
,15
,24
,2
,6
,0
,2
,25
,85
,2
,19
,1
,12
,9
,14
,0
,49
,31
,60
,91
,72
,38
,1
,0
,723
,53
,1
,3
,35
,0
,52
,7
,32
,2
,47
,16
,7
,86
,117
,5
,2
,0
,2
,1
,13
,9
,7
,245
,691
,149
,10
,7
,15
,53
,33
,13
,0
,414
,930
,19
,106
,194
,261
,217
,269
,81
,55
,11
,76
,24
,0
,0
,42
,4
,19
,58
,49
,30
,72
,12
,34
,104
,60
,22
,10
,25
,294
,551
,173
,21
,27
,3
,83
,0
,1252
,81
,140
,125
,304
,11
,524
,4
,228
,377
,102
,6
,93
,637
,18
,3
,91
,3
,4
,45
,6
,22
,10
,37
,48
,145
,15
,9
,5
,24
,166
,10
,59
,19
,4
,11
,374
,230
,0
,0
,0
,0
,19
,112
,7
,36
,114
,2
,1
,20
,4
,1
,1
,19
,24
,109
,898
,0
,44
,190
,53
,2
,7
,44
,31
,106
,57
,8
,1
,36
,95
,0
,28
,218
,795
,74
,50
,20
,12
,0
,51
,5
,19
,31
,84
,7
,202
,116
,27
,1278
,128
,1026
,122
,72
,165
,49
,757
,20
,7
,55
,37
,2
,3
,6
,23
,133
,40
,21
,31
,144
,12
,52
,8
,3
,319
,818
,1
,1320
,1098
,156
,98
,48
,21
,209
,97
,1
,196
,0
,8
,517
,115
,45
,9
,75
,22
,9
,133
,22
,13
,8
,220
,2640
,319
,557
,6
,181
,3
,11
,108
,50
,10
,19
,244
,43
,68
,13
,19
,240
,547
,240
,35
,3
,1
,77
,1052
,4
,15
,1
,273
,0
,29
,90
,91
,16
,141
,14
,58
,27
,1
,401
,524
,1
,12
,60
,131
,155
,224
,0
,1077
,51
,13
,35
,7
,16
,333
,0
,3954
,1273
,431
,966
,8
,22
,45
,34
,25
,0
,9
,330
,2
,13
,119
,246
,7
,0
,6
,2
,1
,3
,47
,9
,17
,32
,34
,96
,81
,7
,57
,4
,29
,120
,17
,39
,98
,6
,143
,27
,293
,0
,0
,1346
,135
,10
,44
,1379
,2014
,56
,20
,4
,9
,42
,6
,62
,17
,16
,80
,50
,73
,1
,93
,12
,130
,762
,25
,51
,57
,0
,4
,4
,0
,39
,0
,5
,33
,6
,42
,32
,4
,19
,0
,22
,1
,49
,2
,8
,0
,4
,33
,18
,44
,0
,33
,77
,11
,91
,0
,0
,18
,19
,44
,3
,649
,7
,9
,1
,12
,13
,96
,14
,4
,20
,67
,60
