FIC,Non_FIC
80,4
106,6095
6,487
19,1
82,2426
342,347
32,1087
41,0
1562,2
0,50
4,575
2,3
1228,1162
48,0
0,51
71,48
15,0
5064,10
99,38
891,0
12,1007
9,199
21,79
38,63
8,1
208,2
25,0
438,0
2,10
412,728
19,6
373,9
5,124
18,14
919,646
139,136
122,393
0,13
19,53
5,15
6,0
12,543
10,606
766,5
68,3
1008,525
1512,48
52,321
0,0
82,13
256,2968
0,3285
10,3
0,14
0,11
36,3
73,487
40,435
13,137
190,5
177,0
429,4
11,994
1361,27
120,17
316,0
0,1184
466,9008
957,0
213,0
576,3
0,141
430,1317
1104,1454
394,19629
213,25
44,6432
204,2082
203,1501
14,0
3,0
237,0
6,2155
2,8357
253,59
645,25
42,1014
63,44
37,125
637,0
157,485
57,4697
0,17
3838,5
2610,1370
59,85
297,1030
46,676
308,7016
64,906
0,23
305,2401
0,220
58,32
0,101
265,10
4,62
73,1069
34,104
1,16
0,17
13,45
27,10
32,10
0,2
20,10
10,7
4,5
0,3
1769,143
409,1
0,0
257,0
0,0
0,409
4,148
125,238
0,19
11,4
11,91
2541,72
76,219
0,32
1091,76
5,76
387,34
5,205
23,263
108,65
28,49
458,1
367,0
626,25
2,5
85,74
40,8
4,93
14,1
43,15
0,12
44,3719
71,62
109,198
772,11873
287,3044
1,684
116,10
15,1253
0,86
0,240
1,20
177,9
1010,7
14,93
266,785
274,1310
9,307
222,4469
412,276
0,766
245,0
131,1
7,0
56,3181
1555,454
2,2
36,117
5,4163
23,3
164,0
173,1156
23,113
38,22
322,128
1654,0
2579,179
1140,483
86,2
2,0
33,162
4795,259
134,165
4,466
1,53
19,12
817,18
199,3
0,2
1,6
2574,654
2,6
137,266
13,259
1718,31
151,14
0,15
1202,159
24,2812
4,1199
849,4683
0,1283
2298,2961
0,1344
11,340
136,192
42,2184
246,6
4233,9
1431,34
211,278
0,0
319,65
116,1119
236,2806
2204,2
0,1581
43,0
0,512
40,1423
19,0
933,721
22,1126
0,0
956,847
6,109
283,1199
220,347
239,0
219,3949
883,7173
220,34
13,152
93,3
42,12
1,0
525,7
664,9
644,12
9,22
74,56
351,1
228,106
70,1553
94,4
316,1447
154,10
206,0
2,0
1382,21
863,0
337,107
703,11
58,0
62,187
7,2438
96,38
59,10
789,71
35,23
0,19
1,2
299,1
1020,21
16,325
178,579
440,324
944,43
65,427
11,0
2087,339
952,362
14,21
194,0
211,85
1122,4
1104,687
75,247
0,84
13,22
714,53
20,87
32,563
4,872
77,1
91,63
174,12
73,412
188,0
4,39
34,396
37,1038
4191,797
81,157
136,87
2,0
81,877
200,171
385,1
1031,89
249,69
0,128
6,100
1,126
1468,1169
4,717
74,6600
38,619
0,212
394,194
27,14
2501,9
1,6745
561,150
409,99
261,4106
152,209
23,202
21,1
375,0
435,0
169,0
48,0
65,0
59,0
8,0
113,0
3007,0
0,0
439,0
0,0
0,0
0,0
35,0
1372,857
0,0
9,1695
0,949
46,379
515,151
3,1092
79,86
660,0
0,15
248,166
192,169
0,0
140,273
0,127
251,95
477,117
0,559
2225,206
48,0
246,155
4,97
0,659
24,1
25,353
89,3
21,12
121,10
2,22
0,3279
125,21
0,134
0,40
10,227
17,8
713,11
0,25
0,14
26,59
836,818
172,151
191,368
439,51
0,1111
932,1
142,27
45,26
76,163
151,662
184,0
12,0
477,0
554,0
28,1
97,497
0,0
22,19
55,2490
52,357
412,252
338,143
6,0
235,0
147,0
4,0
0,434
0,342
101,287
9,814
134,38
33,68
95,160
48,660
0,90
1,1601
2167,1655
5,3088
16,5
1,8
52,0
68,0
117,1
26,0
267,15
